round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,early_stopping,early_stopping_config__monitor,early_stopping_config__min_delta,early_stopping_config__patience,early_stopping_config__mode,batch_size,model_type
7,0.6765906707048416,0.8146357717514038,0.805,0.2709205857855933,0.9094855882780892,0.9110357142857143,False,64,relu,0.2,1,funnel,7,True,val_f1,0,3,max,32,keras_tf_idf_model
5,0.5718433730602265,0.8266694955825805,0.82025,0.2115274244185005,0.9357934724943978,0.9403928571428571,False,128,relu,0.2,0,funnel,5,True,val_f1,0,3,max,32,keras_tf_idf_model
5,0.7218159028291702,0.810349244594574,0.80175,0.3151270825351988,0.8979913338252477,0.8986785714285714,False,128,relu,0.2,2,funnel,5,True,val_f1,0,3,max,32,keras_tf_idf_model
4,0.6909220002889633,0.8068133516311645,0.79825,0.3496904665146555,0.8870794138908387,0.8885714285714286,False,128,tanh,0.2,2,funnel,4,True,val_f1,0,3,max,32,keras_tf_idf_model
4,0.5429406414031982,0.8276227231025696,0.83,0.416350869008473,0.8644282768113273,0.8811071428571429,False,128,tanh,0.6,0,funnel,4,True,val_f1,0,3,max,64,keras_tf_idf_model
5,0.6908182735443116,0.8144640502929688,0.804,0.3692250756195613,0.8777745122909546,0.8834642857142857,False,128,relu,0.2,2,funnel,5,True,val_f1,0,3,max,64,keras_tf_idf_model
5,0.5911627154350281,0.8150304346084595,0.81425,0.7732309684072222,0.7236240510259356,0.7516071428571428,False,64,tanh,0.6,1,funnel,5,True,val_f1,0,3,max,64,keras_tf_idf_model
5,1.3377435264587403,0.39161738896369935,0.633,1.8792842922210693,0.21039593989508493,0.33535714285714285,False,64,relu,0.6,2,funnel,5,True,val_f1,0,3,max,64,keras_tf_idf_model
5,0.5413353184461593,0.8294836010932922,0.8245,0.2978122511250632,0.9036895859582084,0.91,False,64,relu,0.2,0,funnel,5,True,val_f1,0,3,max,32,keras_tf_idf_model
6,0.7437944813966751,0.80573446559906,0.7985,0.16809282020798752,0.9447365828241621,0.9462142857142857,False,128,relu,0.2,1,funnel,7,True,val_f1,0,3,max,32,keras_tf_idf_model
4,0.6732248368263245,0.8117062330245972,0.802,0.35228630957858903,0.8868042540550232,0.8888928571428572,False,128,tanh,0.2,2,funnel,5,True,val_f1,0,3,max,32,keras_tf_idf_model
5,0.6307165765762329,0.809830623626709,0.812,0.9492237035206386,0.6565879923275539,0.6861071428571428,False,128,tanh,0.6,2,funnel,5,True,val_f1,0,3,max,64,keras_tf_idf_model
6,0.7176712206602096,0.8013758764266968,0.793,0.2331321672116007,0.9238371543203081,0.9266428571428571,False,64,tanh,0.2,1,funnel,7,True,val_f1,0,3,max,32,keras_tf_idf_model
5,0.7985009081363678,0.664218099117279,0.723,1.1706908771651132,0.48039787316322324,0.5631428571428572,False,128,relu,0.6,2,funnel,5,True,val_f1,0,3,max,32,keras_tf_idf_model
